regime,n,metric,paired_draws,mean_improvement_percent,median_improvement_percent,improvement_q25,improvement_q75,median_ci025,median_ci975,rfd_win_percent
P-A-020,8192,observation reconstruction,32,-0.1408491041229118,-0.14031706485023124,-0.17054636318749739,-0.09412950381398195,-0.16356697823377203,-0.10573200325961948,0.0
P-A-020,8192,latent-signal reconstruction,32,-0.5825737163948609,-0.5651470778692254,-0.6324409504208954,-0.5320992885041451,-0.6120425432708002,-0.5471484173924073,0.0
P-A-035,8192,loading projector,32,-4.649336483922249,-4.290542682038002,-10.488844956055644,5.400495474446158,-8.84495918978241,2.912328411828588,40.625
P-A-035,8192,factor scores,32,21.125172747721113,21.62668778020197,19.37022997987476,24.121622136255304,20.00872415590843,22.728447407370112,100.0
P-A-035,8192,observation reconstruction,32,-0.13945392572915816,-0.1421100920655869,-0.16742011801980938,-0.08996206044483512,-0.1625689627095027,-0.10383512017855705,0.0
P-A-035,8192,latent-signal reconstruction,32,-0.5828004974961343,-0.5590925779647324,-0.6281966752848943,-0.5268161501138509,-0.611898618521926,-0.5439794691430908,0.0
P-A-050,8192,loading projector,32,-6.240244333034218,-4.1682980959431895,-11.765334436081169,4.918847933024924,-8.149104067819598,2.2574248917844653,43.75
P-A-050,8192,factor scores,32,38.26913051621793,38.702131048933396,36.9490005666521,40.60089021388449,37.48881347365992,39.620530433005115,100.0
P-A-050,8192,observation reconstruction,32,-0.13685844624762794,-0.14086245227720096,-0.1683576645073431,-0.08544095216979017,-0.1589033632624403,-0.0989619843645794,0.0
P-A-050,8192,latent-signal reconstruction,32,-0.5826209621555798,-0.5625934180019091,-0.6317160338850681,-0.525929748601055,-0.6170398757977376,-0.5407034036345744,0.0
P-M-000,8192,loading projector,32,-0.9010736120401258,-2.2687230424949654,-10.07314800297041,8.17384470156249,-6.936732128800831,3.968652492122252,43.75
P-M-000,8192,factor scores,32,-27.02224946842904,-25.394662165940673,-30.81726158048476,-21.87254376879886,-28.76684470663645,-23.014328073682925,0.0
P-M-000,8192,observation reconstruction,32,-0.13864693327870176,-0.14243448677269557,-0.17030104220759473,-0.09924070057360299,-0.1681337373757056,-0.10681392891545217,0.0
P-M-000,8192,latent-signal reconstruction,32,-0.6031525890296252,-0.6041946687270225,-0.7048239784897581,-0.5036415416381813,-0.6844739990678623,-0.525676161308706,0.0
P-M-010,8192,loading projector,32,19.272816422995184,17.665034621429726,13.084579916542493,26.022106339394714,14.749181150947104,23.487085035980247,90.625
P-M-010,8192,factor scores,32,-22.89108615169667,-21.59825605523889,-26.440885815215236,-18.25464054160832,-24.436811151796043,-18.96438814319246,0.0
P-M-010,8192,observation reconstruction,32,1.5428758828941473,1.5289257201779938,1.4665500011274775,1.6533100503052434,1.4793226433144302,1.6229803281672806,100.0
P-M-010,8192,latent-signal reconstruction,32,2.6228875702011374,2.61936864687317,2.490648517512793,2.7242243911147597,2.551463275227311,2.685155422220259,100.0
P-M-020,8192,loading projector,32,68.59377452950562,67.64599479867861,61.39279931834103,76.10992408897121,63.886133632867214,73.4577458550762,100.0
P-M-020,8192,factor scores,32,-11.862699771082893,-10.70612509522834,-15.078794920638787,-7.607677952923237,-13.091786248634977,-8.790526736073408,3.125
P-M-020,8192,observation reconstruction,32,5.983231897298182,5.961956727156306,5.77551013413437,6.212815780363991,5.803734775625556,6.1688966457282906,100.0
P-M-020,8192,latent-signal reconstruction,32,10.503659257091366,10.5028933006813,9.991628818682486,10.991728231247668,10.176452730113358,10.847123494835216,100.0
P-M-035,8192,loading projector,32,89.02990611670398,89.0317831380039,87.34031329469552,91.7401358312302,87.74065878626973,90.95538362040844,100.0
P-M-035,8192,factor scores,32,10.55426227188621,11.620615638175016,7.765636947168645,14.109269409656886,8.542349349209184,13.145243172289193,96.875
P-M-035,8192,observation reconstruction,32,15.015131185200364,15.023485000098237,14.64288354358624,15.511239745489952,14.734630767421795,15.336385826847968,100.0
P-M-035,8192,latent-signal reconstruction,32,24.21579485310467,24.209960436848174,23.148513585568068,25.15095721701004,23.545003343075706,24.957672792539338,100.0
P-M-050,8192,loading projector,32,94.26096620825673,94.28826343974822,93.44260077785098,95.71533421021701,93.7288548179109,95.2433110804387,100.0
P-M-050,8192,factor scores,32,31.41902113721723,31.659372841313534,29.16128049249108,34.42043483844249,29.632869841616227,33.37444670056189,100.0
P-M-050,8192,observation reconstruction,32,23.716951199143097,23.731117619069906,23.249812664958178,24.377660263452587,23.384974580333747,24.210690769648146,100.0
P-M-050,8192,latent-signal reconstruction,32,35.320425783502166,35.25310465258019,34.01481459660358,36.409014031628786,34.49797407965562,36.24313721083637,100.0
P-O-000,8192,loading projector,32,-2.6459364949129407,-3.691440497929465,-9.628195975535204,6.34528486643929,-8.447214642529545,3.60078231635703,37.5
P-O-000,8192,factor scores,32,-28.346080396783023,-27.39098997154327,-33.559239300341765,-22.468832269025505,-30.24878028412323,-24.432549436118624,0.0
P-O-000,8192,observation reconstruction,32,-0.13774273346933347,-0.14212829388844173,-0.17700583195954656,-0.10815778276441577,-0.16956998215790745,-0.1205354838291137,0.0
P-O-000,8192,latent-signal reconstruction,32,-0.6523072161644216,-0.632201298559119,-0.7257347838192911,-0.5641625349133219,-0.7006313399424374,-0.5900144031471697,0.0
P-O-010,8192,loading projector,32,13.533357493557968,17.91656889375614,3.6086944861939925,22.64982035630635,6.789522634815125,20.94635115148165,84.375
P-O-010,8192,factor scores,32,-28.332305293568407,-27.34391525517296,-33.41255222497389,-22.536347074243587,-29.86414571877563,-24.35938159249244,0.0
P-O-010,8192,observation reconstruction,32,3.0975865180907194,3.080506703306528,2.9631629562568422,3.1968300032090715,2.9826304462154596,3.154966999608894,100.0
P-O-010,8192,latent-signal reconstruction,32,5.8082828371987265,5.778388895045216,5.630128929981556,6.008809516718187,5.6573798905113035,5.903004725483737,100.0
P-O-020,8192,loading projector,32,38.64369721300457,44.806809579132555,25.230164429790346,51.62377948498874,32.982564272115894,50.06618964737837,93.75
P-O-020,8192,factor scores,32,-28.301612758953386,-27.25796020779908,-33.15930016395437,-22.635870046112633,-30.455653602723544,-24.262503460934802,0.0
P-O-020,8192,observation reconstruction,32,11.182598103072358,11.152807537416624,10.854230278412926,11.350193640235661,10.981598164976003,11.30184023722754,100.0
P-O-020,8192,latent-signal reconstruction,32,19.595853968323446,19.602234885876634,19.105288158306973,20.004374452684434,19.294897341013257,19.833819714387317,100.0
P-O-035,8192,loading projector,32,81.19186208064554,87.00921647042368,79.66339874253995,90.83377142950188,82.50538249238973,89.88860628939783,100.0
P-O-035,8192,factor scores,32,-26.051146834627815,-24.777580758770192,-29.87912136623408,-20.3716662757207,-27.534179091647836,-22.560038433953416,0.0
P-O-035,8192,observation reconstruction,32,26.3316269104042,26.203468035409333,25.88576658934022,26.605595700700626,26.028398990162987,26.373767005206744,100.0
P-O-035,8192,latent-signal reconstruction,32,39.64760027307413,39.33574169626493,38.999048121041,40.37784678987872,39.12773983761697,40.00253371241094,100.0
P-O-050,8192,loading projector,32,98.5396564566537,98.56840223638068,98.39910615854897,98.72666948451794,98.53895240025749,98.69827038403469,100.0
P-O-050,8192,factor scores,32,56.965496023553555,56.889228153084005,55.5931711119637,58.55866684271166,55.995732387854325,58.32192059863305,100.0
P-O-050,8192,observation reconstruction,32,44.47336283793824,44.474797370820355,43.997978545371986,44.734587031929834,44.25898663718555,44.65086729150562,100.0
P-O-050,8192,latent-signal reconstruction,32,58.661994643429225,58.66593866574415,57.97969489896918,59.1969791966106,58.19375264935878,59.04394652064499,100.0
V-L,512,loading projector,32,37.46174193698447,52.477442463724756,19.707812578733936,63.86188355713676,29.194537409204287,58.62049509358619,87.5
V-L,512,factor scores,32,-102.58857547557434,-96.48081131750004,-144.63146675556177,-52.977136406436415,-133.98699051384304,-72.67746015679052,0.0
V-L,512,observation reconstruction,32,13.415262984215731,13.15651051263449,6.30557006599837,19.88499389668775,9.439386587551118,17.847598306400094,90.625
V-L,512,latent-signal reconstruction,32,14.214920288478641,14.177464701349626,5.551740553716491,22.167045900069624,11.003005399917793,20.154621013550322,87.5
V-L,2048,loading projector,32,75.65655184957302,78.61650977882421,69.14311398141548,86.12258055136034,72.40668129962111,83.45641882054035,100.0
